headword_lang,head,pos,additional_pos,trans(no paren),trans(with paren),original_html
Portuguese,Abdala,Etymology,,"From Old Portuguese Abdalla, from Arabic عبد الله.","From Old Portuguese Abdalla, from Arabic عبد الله.","<p id=""mwBQ"">From <span class=""etyl"" id=""mwBg""><a class=""external"" href=""https://en.wikipedia.org/wiki/Old%20Portuguese%20language"" title=""w:Old Portuguese language"">Old Portuguese</a></span><span> </span><i class=""Latn mention"" lang=""roa-opt"">Abdalla</i>, from <span class=""etyl"" id=""mwCA""><a class=""external"" href=""https://en.wikipedia.org/wiki/Arabic%20language"" title=""w:Arabic language"">Arabic</a></span><span> </span><i class=""Arab mention"" id=""mwCQ"" lang=""ar""><a href=""%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%84%D9%87.html"" title=""عبد الله"">عبد الله</a></i>.</p>"
Portuguese,Abdala,Proper noun, m,"A male given name, equivalent to English Abdullah"," A male given name, equivalent to English Abdullah","<li id=""mwDg""> <span class=""use-with-mention"" id=""mwDw"">A male <a href=""given_name.html"" title=""given name"">given name</a>, equivalent to English <span class=""Latn"" lang=""en""><a href=""Abdullah.html"" title=""Abdullah"">Abdullah</a></span></span></li>"
Portuguese,Abdala,Related terms,,Abdula, Abdula,"<li id=""mwEg""> <span class=""Latn"" id=""mwEw"" lang=""pt""><a href=""Abdula.html"" title=""Abdula"">Abdula</a></span></li>"
Portuguese,Abdalá,Proper noun, m,Alternative form of Abdala, Alternative form of Abdala,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">Alternative form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""pt""><a href=""Abdala.html"" title=""Abdala"">Abdala</a></i></span></span></li>"
Portuguese,Abdom,Alternative forms,,Abdão, Abdão,"<li id=""mwAg""> <span class=""Latn"" id=""mwAw"" lang=""pt""><a href=""Abd%C3%A3o.html"" title=""Abdão"">Abdão</a></span></li>"
Portuguese,Abdom,Proper noun, m, Abdon , (biblical) Abdon (a judge of Israel),"<li id=""mwCA""> <span class=""ib-brac"" id=""mwCQ"">(</span><span class=""ib-content"">biblical</span><span class=""ib-brac"" id=""mwCg"">)</span> <span class=""Latn"" id=""mwCw"" lang=""en""><a href=""Abdon.html"" title=""Abdon"">Abdon</a></span> <span class=""gloss-brac"" id=""mwDA"">(</span><span class=""gloss-content"">a judge of Israel</span><span class=""gloss-brac"" id=""mwDQ"">)</span></li>"
Portuguese,Abdon Batista,Proper noun,,Abdon Batista ," Abdon Batista (municipality in the state of Santa Catarina, Brazil)","<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href="""" title=""Abdon Batista"">Abdon Batista</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of Santa Catarina, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Abdula,Proper noun, m,"A male given name, equivalent to English Abdullah"," A male given name, equivalent to English Abdullah","<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">A male <a href=""given_name.html"" title=""given name"">given name</a>, equivalent to English <span class=""Latn"" lang=""en""><a href=""Abdullah.html"" title=""Abdullah"">Abdullah</a></span></span></li>"
Portuguese,Abdula,Related terms,,Abdala, Abdala,"<li id=""mwCQ""> <span class=""Latn"" id=""mwCg"" lang=""pt""><a href=""Abdala.html"" title=""Abdala"">Abdala</a></span></li>"
Portuguese,Abdão,Proper noun, m,Alternative form of Abdom, Alternative form of Abdom,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">Alternative form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""pt""><a href=""Abdom.html"" title=""Abdom"">Abdom</a></i></span></span></li>"
Portuguese,Abecásia,Proper noun, f,Alternative spelling of Abkhazia, Alternative spelling of Abkhazia,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">Alternative spelling of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""pt""><a href=""Abkhazia.html"" title=""Abkhazia"">Abkhazia</a></i></span></span></li>"
