headword_lang,head,pos,additional_pos,trans(no paren),trans(with paren),original_html
Portuguese,Andrômeda,Proper noun, f (Brazilian orthography), Andromeda , (astronomy) Andromeda (a galaxy),"<li id=""mwKA""> <span class=""ib-brac"" id=""mwKQ"">(</span><span class=""ib-content"">astronomy</span><span class=""ib-brac"" id=""mwKg"">)</span> <span class=""Latn"" id=""mwKw"" lang=""en""><a href=""Andromeda.html"" title=""Andromeda"">Andromeda</a></span> <span class=""gloss-brac"" id=""mwLA"">(</span><span class=""gloss-content"">a galaxy</span><span class=""gloss-brac"" id=""mwLQ"">)</span></li>"
Portuguese,Anelisa,Pronunciation,, IPA: /ˌɐ.ne.ˈli.zɐ/, (Brazil) IPA(key): /ˌɐ.ne.ˈli.zɐ/,"<li id=""mwAg""> <span class=""ib-brac"" id=""mwAw""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content""><a class=""external"" href=""https://en.wikipedia.org/wiki/Brazilian%20Portuguese"" title=""w:Brazilian Portuguese"">Brazil</a></span></span><span class=""ib-brac"" id=""mwBA""><span class=""qualifier-brac"">)</span></span> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/ˌɐ.ne.ˈli.zɐ/</span></li>"
Portuguese,Anelisa,Proper noun, f,"A female given name, equivalent to English Annalise"," A female given name, equivalent to English Annalise","<li id=""mwCw""> <span class=""use-with-mention"" id=""mwDA"">A female <a href=""given_name.html"" title=""given name"">given name</a>, equivalent to English <span class=""Latn"" lang=""en""><a href=""Annalise.html"" title=""Annalise"">Annalise</a></span></span></li>"
Portuguese,Angatuba,Proper noun,,Angatuba ," Angatuba (municipality in the state of São Paulo, Brazil)","<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href="""" title=""Angatuba"">Angatuba</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of São Paulo, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Angelândia,Proper noun,,Angelândia ," Angelândia (municipality in the state of Minas Gerais, Brazil)","<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href=""Angel%C3%A2ndia.html"" title=""Angelândia"">Angelândia</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of Minas Gerais, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Angerapp,Proper noun, m,Angrapa , Angrapa (a river in Poland and Russia),"<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href=""Angrapa.html"" title=""Angrapa"">Angrapa</a></span><span> (a river in </span><span class=""Latn"" lang=""en""><a href=""Poland.html"" title=""Poland"">Poland</a></span><span> and </span><span class=""Latn"" lang=""en""><a href=""Russia.html"" title=""Russia"">Russia</a></span><span>)</span></li>"
Portuguese,Angical,Proper noun,,Angical ," Angical (municipality in the state of Bahia, Brazil)","<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href="""" title=""Angical"">Angical</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of Bahia, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Angkor Vat,Alternative forms,,Angkor Wat, Angkor Wat,"<li id=""mwAg""> <span class=""Latn"" id=""mwAw"" lang=""pt""><a href=""Angkor_Wat.html"" title=""Angkor Wat"">Angkor Wat</a></span></li>"
Portuguese,Angkor Vat,Proper noun, m,Angkor Wat , Angkor Wat (a temple complex in Cambodia),"<li id=""mwCA""> <span class=""Latn"" id=""mwCQ"" lang=""en""><a href=""Angkor_Wat.html"" title=""Angkor Wat"">Angkor Wat</a></span><span> (a temple complex in </span><span class=""Latn"" lang=""en""><a href=""Cambodia.html"" title=""Cambodia"">Cambodia</a></span><span>)</span></li>"
Portuguese,Angra dos Reis,Proper noun,,Angra dos Reis ," Angra dos Reis (municipality in the state of Rio de Janeiro, Brazil)","<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href="""" title=""Angra dos Reis"">Angra dos Reis</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of Rio de Janeiro, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Anguera,Proper noun,,Anguera ," Anguera (municipality in the state of Bahia, Brazil)","<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href="""" title=""Anguera"">Anguera</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of Bahia, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Anguila,Alternative forms,,"Anguilla, Anguilha"," Anguilla, Anguilha","<li id=""mwAw""> <span class=""Latn"" id=""mwBA"" lang=""pt""><a href=""Anguilla.html"" title=""Anguilla"">Anguilla</a></span>, <span class=""Latn"" id=""mwBQ"" lang=""pt""><a href=""Anguilha.html"" title=""Anguilha"">Anguilha</a></span></li>"
Portuguese,Anguila,Etymology,,"From the word eel in an unknown language, due to the island's elongated shape. Possibly Italian anguilla or Spanish anguila.","From the word eel in an unknown language, due to the island's elongated shape. Possibly Italian anguilla or Spanish anguila.","<p id=""mwBg"">From the word <a href=""eel.html"" id=""mwBw"" title=""eel"">eel</a> in an unknown language, due to the island's <a href=""elongated.html"" id=""mwCA"" title=""elongated"">elongated</a> shape. Possibly <span class=""etylcleanup"" id=""mwCQ""><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/Italian%20language"" title=""w:Italian language"">Italian</a></span></span> <i class=""Latn mention"" id=""mwCw"" lang=""it""><a href=""anguilla.html"" title=""anguilla"">anguilla</a></i> or <span class=""etylcleanup"" id=""mwDA""><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/Spanish%20language"" title=""w:Spanish language"">Spanish</a></span></span> <i class=""Latn mention"" id=""mwDg"" lang=""es""><a href=""anguila.html"" title=""anguila"">anguila</a></i>.</p>"
Portuguese,Anguila,Pronunciation,, IPA: /ɐ̃.ˈɡi.lɐ/," (Portugal, Brazil) IPA(key): /ɐ̃.ˈɡi.lɐ/","<li id=""mwEA""> <span class=""ib-brac"" id=""mwEQ""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content""><a class=""external"" href=""https://en.wikipedia.org/wiki/European%20Portuguese"" title=""w:European Portuguese"">Portugal</a>, <a class=""external"" href=""https://en.wikipedia.org/wiki/Brazilian%20Portuguese"" title=""w:Brazilian Portuguese"">Brazil</a></span></span><span class=""ib-brac"" id=""mwEg""><span class=""qualifier-brac"">)</span></span> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/ɐ̃.ˈɡi.lɐ/</span></li>"
Portuguese,Anguila,Proper noun, f,Anguilla ," Anguilla (an island and overseas territory of the United Kingdom, located in the Caribbean)","<li id=""mwGQ""> <span class=""Latn"" id=""mwGg"" lang=""en""><a href=""Anguilla.html"" title=""Anguilla"">Anguilla</a></span><span> (an island and overseas territory of the </span><span class=""Latn"" lang=""en""><a href=""United_Kingdom.html"" title=""United Kingdom"">United Kingdom</a></span><span>, located in the </span><span class=""Latn"" lang=""en""><a href=""Caribbean.html"" title=""Caribbean"">Caribbean</a></span><span>)</span></li>"
Portuguese,Anguila,Related terms,,enguia, enguia,"<li id=""mwHQ""> <span class=""Latn"" id=""mwHg"" lang=""pt""><a href=""enguia.html"" title=""enguia"">enguia</a></span></li>"
Portuguese,Anguilha,Proper noun, f,Alternative form of Anguila, Alternative form of Anguila,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">Alternative form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""pt""><a href=""Anguila.html"" title=""Anguila"">Anguila</a></i></span></span></li>"
Portuguese,Angustura,Alternative forms,,Angostura, Angostura,"<li id=""mwAw""> <span class=""Latn"" id=""mwBA"" lang=""pt""><a href=""Angostura.html"" title=""Angostura"">Angostura</a></span></li>"
Portuguese,Angustura,Proper noun, f,Angostura ," Angostura (former name of Ciudad Bolivar, Venezuela)","<li id=""mwCQ""> <span class=""Latn"" id=""mwCg"" lang=""en""><a href=""Angostura.html"" title=""Angostura"">Angostura</a></span><span> (former name of Ciudad Bolivar, Venezuela)</span></li>"
Portuguese,Angélica,Pronunciation,, IPA: /ɐ̃.ˈʒɛ.li.kɐ/, (Brazil) IPA(key): /ɐ̃.ˈʒɛ.li.kɐ/,"<li id=""mwAw""> <span class=""ib-brac"" id=""mwBA""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content""><a class=""external"" href=""https://en.wikipedia.org/wiki/Brazilian%20Portuguese"" title=""w:Brazilian Portuguese"">Brazil</a></span></span><span class=""ib-brac"" id=""mwBQ""><span class=""qualifier-brac"">)</span></span> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/ɐ̃.ˈʒɛ.li.kɐ/</span></li>"
Portuguese,Angélica,Proper noun, f,"A female given name, equivalent to English Angelica"," A female given name, equivalent to English Angelica","<li id=""mwDA""> <span class=""use-with-mention"" id=""mwDQ"">A female <a href=""given_name.html"" title=""given name"">given name</a>, equivalent to English <span class=""Latn"" lang=""en""><a href=""Angelica.html"" title=""Angelica"">Angelica</a></span></span></li>"
Portuguese,Anhembi,Proper noun,,Anhembi ," Anhembi (municipality in the state of São Paulo, Brazil)","<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href="""" title=""Anhembi"">Anhembi</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of São Paulo, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Anhumas,Proper noun,,Anhumas ," Anhumas (municipality in the state of São Paulo, Brazil)","<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href="""" title=""Anhumas"">Anhumas</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of São Paulo, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Anita Garibaldi,Proper noun,,Anita Garibaldi ," Anita Garibaldi (municipality in the state of Santa Catarina, Brazil)","<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href="""" title=""Anita Garibaldi"">Anita Garibaldi</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of Santa Catarina, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Anitápolis,Proper noun,,Anitápolis ," Anitápolis (municipality in the state of Santa Catarina, Brazil)","<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href=""Anit%C3%A1polis.html"" title=""Anitápolis"">Anitápolis</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of Santa Catarina, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Anju,Proper noun, m,Alternative spelling of Anjou, Alternative spelling of Anjou,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">Alternative spelling of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""pt""><a href=""Anjou.html"" title=""Anjou"">Anjou</a></i></span></span></li>"
Portuguese,Anjuan,Proper noun, f,Alternative spelling of Anjouan, Alternative spelling of Anjouan,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">Alternative spelling of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""pt""><a href=""Anjouan.html"" title=""Anjouan"">Anjouan</a></i></span></span></li>"
Portuguese,Ano Novo,Proper noun, m,New Year , New Year (January 1st),"<li id=""mwBg""> <span class=""Latn"" id=""mwBw"" lang=""en""><a href=""New_Year.html"" title=""New Year"">New Year</a></span> <span class=""gloss-brac"" id=""mwCA"">(</span><span class=""gloss-content"">January 1st</span><span class=""gloss-brac"" id=""mwCQ"">)</span></li>"
Portuguese,Ano Novo,Synonyms,,ano-bom, ano-bom,"<li id=""mwCw""> <span class=""Latn"" id=""mwDA"" lang=""pt""><a href=""ano-bom.html"" title=""ano-bom"">ano-bom</a></span></li>"
Portuguese,Anquises,Proper noun, m, Anchises , (Greek Mythology) Anchises (father of Aeneas in the Iliad and the Aeneid),"<li id=""mwBQ""> <span class=""ib-brac"" id=""mwBg"">(</span><span class=""ib-content"">Greek Mythology</span><span class=""ib-brac"" id=""mwBw"">)</span> <span class=""Latn"" id=""mwCA"" lang=""en""><a href=""Anchises.html"" title=""Anchises"">Anchises</a></span> <span class=""gloss-brac"" id=""mwCQ"">(</span><span class=""gloss-content"">father of Aeneas in the Iliad and the Aeneid</span><span class=""gloss-brac"" id=""mwCg"">)</span></li>"
Portuguese,Anrique,Proper noun, m,"A male given name, archaic variant of Henrique"," A male given name, archaic variant of Henrique","<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">A male <a href=""given_name.html"" title=""given name"">given name</a></span>, archaic variant of <i class=""Latn mention"" id=""mwCA"" lang=""pt""><a href=""Henrique.html"" title=""Henrique"">Henrique</a></i></li>"
Portuguese,Ansião,Pronunciation,," IPA: /ɐ̃siˈɐ̃w/,  Audio ,  Homophone: ancião"," (Portugal) IPA(key): /ɐ̃siˈɐ̃w/,  Audio (Portugal)(file),  Homophone: ancião","<li id=""mwAg""> <span class=""ib-brac"" id=""mwAw""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content""><a class=""external"" href=""https://en.wikipedia.org/wiki/European%20Portuguese"" title=""w:European Portuguese"">Portugal</a></span></span><span class=""ib-brac"" id=""mwBA""><span class=""qualifier-brac"">)</span></span> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/ɐ̃siˈɐ̃w/</span></li>, <li id=""mwBw""> <table class=""audiotable"" id=""mwCA"" style=""vertical-align: top; display:inline-block; list-style:none;line-height: 1em; border-collapse:collapse;""><tbody><tr><td class=""unicode audiolink"" style=""padding-right:5px; padding-left: 0;"">Audio (Portugal)</td><td class=""audiofile""></td><td class=""audiometa"" style=""font-size: 80%;"">(file)</td></tr></tbody></table></li>, <li id=""mwCg""> <span id=""mwCw"">Homophone: </span><span class=""Latn"" lang=""pt""><a href=""anci%C3%A3o.html"" title=""ancião"">ancião</a></span></li>"
Portuguese,Ansião,Proper noun, f,"A village and municipality in Leiria, Portugal."," A village and municipality in Leiria, Portugal.","<li id=""mwEQ""> <span id=""mwEg"">A village and municipality in </span><span class=""Latn"" lang=""en""><a href=""Leiria.html"" title=""Leiria"">Leiria</a></span><span>, </span><span class=""Latn"" lang=""en""><a href=""Portugal.html"" title=""Portugal"">Portugal</a></span><span>.</span></li>"
Portuguese,Ansião,Related terms,,ansianense, ansianense,"<li id=""mwFQ""> <span class=""Latn"" id=""mwFg"" lang=""pt"">ansianense</span></li>"
Portuguese,Anta Gorda,Proper noun,,Anta Gorda ," Anta Gorda (municipality in the state of Rio Grande do Sul, Brazil)","<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href="""" title=""Anta Gorda"">Anta Gorda</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of Rio Grande do Sul, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Antas,Proper noun,,Antas ," Antas (municipality in the state of Bahia, Brazil)","<li id=""mwBg""> <span class=""Latn"" id=""mwBw"" lang=""en""><a href="""" title=""Antas"">Antas</a></span><span> </span><span class=""gloss-brac"">(</span><span class=""gloss-content"">municipality in the state of Bahia, Brazil</span><span class=""gloss-brac"">)</span></li>"
Portuguese,Anteia,Proper noun, f,"a female given name of historical usage, equivalent to English Anthea"," a female given name of historical usage, equivalent to English Anthea","<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">a female <span class=""Latn"" lang=""en""><a href=""given_name.html"" title=""given name"">given name</a></span> of historical usage, equivalent to English <span class=""Latn"" lang=""en""><a href=""Anthea.html"" title=""Anthea"">Anthea</a></span></span></li>"
Portuguese,Antichristo,Proper noun, m,Obsolete spelling of Anticristo ., Obsolete spelling of Anticristo (used in Portugal until September 1911 and died out in Brazil during the 1920s).,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">Obsolete spelling of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""pt""><a href=""Anticristo.html"" title=""Anticristo"">Anticristo</a></i></span></span><span> </span><span class=""ib-brac""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content"">used in Portugal until <a class=""external"" href=""https://en.wikipedia.org/wiki/Portuguese_spelling_reforms#Timeline_of_spelling_reforms"" title=""w:Portuguese spelling reforms"">September 1911</a> and died out in Brazil during the 1920s</span></span><span class=""ib-brac""><span class=""qualifier-brac"">)</span></span><span>.</span></li>"
Portuguese,Antiga República Jugoslava da Macedónia,Alternative forms,,antiga República Iugoslava da Macedônia , antiga República Iugoslava da Macedônia (Brazil),"<li id=""mwAg""> <span class=""Latn"" id=""mwAw"" lang=""pt""><a href=""antiga_Rep%C3%BAblica_Iugoslava_da_Maced%C3%B4nia.html"" title=""antiga República Iugoslava da Macedônia"">antiga República Iugoslava da Macedônia</a></span> <span class=""ib-brac"" id=""mwBA""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content"">Brazil</span></span><span class=""ib-brac"" id=""mwBQ""><span class=""qualifier-brac"">)</span></span></li>"
Portuguese,Antiga República Jugoslava da Macedónia,Proper noun, f, former Yugoslav Republic of Macedonia , (Portugal) former Yugoslav Republic of Macedonia (provisional designation of the Republic of Macedonia),"<li id=""mwCg""> <span class=""ib-brac"" id=""mwCw"">(</span><span class=""ib-content""><a class=""external"" href=""https://en.wikipedia.org/wiki/Portugal"" title=""w:Portugal"">Portugal</a></span><span class=""ib-brac"" id=""mwDA"">)</span> <span class=""Latn"" id=""mwDQ"" lang=""en""><a href=""former_Yugoslav_Republic_of_Macedonia.html"" title=""former Yugoslav Republic of Macedonia"">former Yugoslav Republic of Macedonia</a></span> <span class=""gloss-brac"" id=""mwDg"">(</span><span class=""gloss-content"">provisional designation of the Republic of Macedonia</span><span class=""gloss-brac"" id=""mwDw"">)</span></li>"
Portuguese,Antigo Egipto,Proper noun, m,Superseded spelling of Antigo Egito., Superseded spelling of Antigo Egito.,"<li id=""mwBQ""> <span class=""use-with-mention"" id=""mwBg"">Superseded spelling of <i class=""Latn mention"" lang=""pt""><a href=""Antigo_Egito.html"" title=""Antigo Egito"">Antigo Egito</a></i></span><span>.</span></li>"
Portuguese,Antigo Egito,Alternative forms,,"Antigo Egipto ,  Egito Antigo, Egipto Antigo "," Antigo Egipto (Portugal, superseded),  Egito Antigo, Egipto Antigo (Portugal, superseded)","<li id=""mwAg""> <span class=""Latn"" id=""mwAw"" lang=""pt""><a href=""Antigo_Egipto.html"" title=""Antigo Egipto"">Antigo Egipto</a></span> <span class=""ib-brac"" id=""mwBA""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content"">Portugal<span class=""ib-comma""><span class=""qualifier-comma"">,</span></span> superseded</span></span><span class=""ib-brac"" id=""mwBQ""><span class=""qualifier-brac"">)</span></span></li>, <li id=""mwBg""> <span class=""Latn"" id=""mwBw"" lang=""pt""><a href=""Egito_Antigo.html"" title=""Egito Antigo"">Egito Antigo</a></span>, <span class=""Latn"" id=""mwCA"" lang=""pt""><a href=""Egipto_Antigo.html"" title=""Egipto Antigo"">Egipto Antigo</a></span> <span class=""ib-brac"" id=""mwCQ""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content"">Portugal<span class=""ib-comma""><span class=""qualifier-comma"">,</span></span> superseded</span></span><span class=""ib-brac"" id=""mwCg""><span class=""qualifier-brac"">)</span></span></li>"
Portuguese,Antigo Egito,Proper noun, m,Ancient Egypt , Ancient Egypt (an ancient civilisation in the Nile valley),"<li id=""mwDw""> <span class=""Latn"" id=""mwEA"" lang=""en""><a href=""Ancient_Egypt.html"" title=""Ancient Egypt"">Ancient Egypt</a></span><span> (an ancient civilisation in </span><span class=""Latn"" lang=""en"">the Nile valley</span><span>)</span></li>"
Portuguese,Antiguidade,Proper noun, f, Antiquity , (historiography) Antiquity (period of history before the fall of Rome),"<li id=""mwBg""> <span class=""ib-brac"" id=""mwBw"">(</span><span class=""ib-content"">historiography</span><span class=""ib-brac"" id=""mwCA"">)</span> <span class=""Latn"" id=""mwCQ"" lang=""en""><a href=""Antiquity.html"" title=""Antiquity"">Antiquity</a></span> <span class=""gloss-brac"" id=""mwCg"">(</span><span class=""gloss-content"">period of history before the fall of Rome</span><span class=""gloss-brac"" id=""mwCw"">)</span></li>"
Portuguese,Antilhas,Proper noun, f pl,Antilles , Antilles (an archipelago in the Caribbean Sea),"<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href=""Antilles.html"" title=""Antilles"">Antilles</a></span><span> (an archipelago in </span><span class=""Latn"" lang=""en"">the Caribbean Sea</span><span>)</span></li>"
Portuguese,Antilhas Neerlandesas,Proper noun, f pl,Netherlands Antilles , Netherlands Antilles (a former autonomous territory of the Netherlands in the Caribbean Sea),"<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href=""Netherlands_Antilles.html"" title=""Netherlands Antilles"">Netherlands Antilles</a></span><span> (a former autonomous territory of the </span><span class=""Latn"" lang=""en""><a href=""Netherlands.html"" title=""Netherlands"">Netherlands</a></span><span> in </span><span class=""Latn"" lang=""en"">the Caribbean Sea</span><span>)</span></li>"
Portuguese,Antitauro,Proper noun, m,Anti-Taurus , Anti-Taurus (a mountain range in Turkey),"<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href=""Anti-Taurus.html"" title=""Anti-Taurus"">Anti-Taurus</a></span><span> (a mountain range in </span><span class=""Latn"" lang=""en""><a href=""Turkey.html"" title=""Turkey"">Turkey</a></span><span>)</span></li>"
Portuguese,Antiterra,Noun, f (plural Antiterras), antichthon , (classical philosophy) antichthon (a hypothetical planet on the opposite side of the Sun),"<li id=""mwBA""> <span class=""ib-brac"" id=""mwBQ"">(</span><span class=""ib-content"">classical philosophy</span><span class=""ib-brac"" id=""mwBg"">)</span> <span class=""Latn"" id=""mwBw"" lang=""en""><a href=""antichthon.html"" title=""antichthon"">antichthon</a></span> <span class=""gloss-brac"" id=""mwCA"">(</span><span class=""gloss-content"">a hypothetical planet on the opposite side of the Sun</span><span class=""gloss-brac"" id=""mwCQ"">)</span></li>"
Portuguese,Antonieta,Pronunciation,," IPA: /ɐ̃.ˌto.ni.ˈe.tɐ/, /ˌɐ̃.to.ˈnje.tɐ/"," (Brazil) IPA(key): /ɐ̃.ˌto.ni.ˈe.tɐ/, /ˌɐ̃.to.ˈnje.tɐ/","<li id=""mwAg""> <span class=""ib-brac"" id=""mwAw""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content""><a class=""external"" href=""https://en.wikipedia.org/wiki/Brazilian%20Portuguese"" title=""w:Brazilian Portuguese"">Brazil</a></span></span><span class=""ib-brac"" id=""mwBA""><span class=""qualifier-brac"">)</span></span> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/ɐ̃.ˌto.ni.ˈe.tɐ/</span><span>, </span><span class=""IPA"" lang="""">/ˌɐ̃.to.ˈnje.tɐ/</span></li>"
Portuguese,Antonieta,Proper noun, f,"A female given name, equivalent to English Antoinette"," A female given name, equivalent to English Antoinette","<li id=""mwCw""> <span class=""use-with-mention"" id=""mwDA"">A female <a href=""given_name.html"" title=""given name"">given name</a>, equivalent to English <span class=""Latn"" lang=""en""><a href=""Antoinette.html"" title=""Antoinette"">Antoinette</a></span></span></li>"
Portuguese,Antropoceno,Proper noun, m,Anthropocene , Anthropocene (the current geological period),"<li id=""mwBQ""> <span class=""Latn"" id=""mwBg"" lang=""en""><a href=""Anthropocene.html"" title=""Anthropocene"">Anthropocene</a></span> <span class=""gloss-brac"" id=""mwBw"">(</span><span class=""gloss-content"">the current geological period</span><span class=""gloss-brac"" id=""mwCA"">)</span></li>"
Portuguese,Antunes,Etymology,,From António +‎ -es ‎. Compare Spanish Antúnez.,From António +‎ -es ‎(“son of”). Compare Spanish Antúnez.,"<p id=""mwAQ"">From <i class=""Latn mention"" id=""mwAg"" lang=""pt""><a href=""Ant%C3%B3nio.html"" title=""António"">António</a></i><span> +</span><span>‎</span><span> </span><i class=""Latn mention"" lang=""pt""><a href=""-es.html"" title=""-es"">-es</a></i><span> </span><span>‎</span><span class=""mention-gloss-paren"">(</span><span class=""mention-gloss-double-quote"">“</span><span class=""mention-gloss"">son of</span><span class=""mention-gloss-double-quote"">”</span><span class=""mention-gloss-paren"">)</span>. Compare Spanish <i class=""Latn mention"" id=""mwBA"" lang=""es"">Antúnez</i>.</p>"
Portuguese,Antunes,Proper noun, m f,A  surname​., A  surname​.,"<li id=""mwCQ""> <span class=""use-with-mention"" id=""mwCg"">A  <a href=""surname.html"" title=""surname"">surname</a><span>​</span>.</span></li>"
Portuguese,Antuérpia,Etymology,,From Dutch Antwerp.,From Dutch Antwerp.,"<p id=""mwAQ"">From <span class=""etyl"" id=""mwAg""><a class=""external"" href=""https://en.wikipedia.org/wiki/Dutch%20language"" title=""w:Dutch language"">Dutch</a></span><span> </span><i class=""Latn mention"" id=""mwAw"" lang=""nl""><a href=""Antwerp.html"" title=""Antwerp"">Antwerp</a></i>.</p>"
Portuguese,Antuérpia,Pronunciation,, IPA: /ˌɐ̃.tu.ˈɛʁ.pjɐ/, (Brazil) IPA(key): /ˌɐ̃.tu.ˈɛʁ.pjɐ/,"<li id=""mwBQ""> <span class=""ib-brac"" id=""mwBg""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content""><a class=""external"" href=""https://en.wikipedia.org/wiki/Brazilian%20Portuguese"" title=""w:Brazilian Portuguese"">Brazil</a></span></span><span class=""ib-brac"" id=""mwBw""><span class=""qualifier-brac"">)</span></span> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/ˌɐ̃.tu.ˈɛʁ.pjɐ/</span></li>"
Portuguese,Antuérpia,Proper noun, f,Antwerp , Antwerp (a city and province of Belgium),"<li id=""mwDg""> <span class=""Latn"" id=""mwDw"" lang=""en""><a href=""Antwerp.html"" title=""Antwerp"">Antwerp</a></span><span> (a city and province of </span><span class=""Latn"" lang=""en""><a href=""Belgium.html"" title=""Belgium"">Belgium</a></span><span>)</span></li>"
Portuguese,Antália,Proper noun, f,Alternative spelling of Antalya, Alternative spelling of Antalya,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">Alternative spelling of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""pt""><a href=""Antalya.html"" title=""Antalya"">Antalya</a></i></span></span></li>"
Portuguese,Antártica,Alternative forms,,Antártida, Antártida,"<li id=""mwAw""> <span class=""Latn"" id=""mwBA"" lang=""pt""><a href=""Ant%C3%A1rtida.html"" title=""Antártida"">Antártida</a></span></li>"
Portuguese,Antártica,Proper noun, f,Antarctica , Antarctica (the southernmost continent),"<li id=""mwCQ""> <span class=""Latn"" id=""mwCg"" lang=""en""><a href=""Antarctica.html"" title=""Antarctica"">Antarctica</a></span><span> (the southernmost continent)</span></li>"
